,city,district,region,metro,adress,age_of_construction,rooms_in_flat,rooms_to_rent,apartment_layout,ceiling_height,restroom,bathroom,remont,window_view,floor_of_flat,height,to_metro,type_of_way,price,kitchen_size,room_size,building_age,share_in_flat,remont_scale,price_per_square
59,Москва,ВАО,р-н Измайлово,Первомайская,Нижняя Первомайская улица 12Б,1953.0,3.0,1.0,Изолированная,3.0,1 раздельный,,Косметический,2.0,4.0,5.0,8.0,пешком,20000,10.0,22.0,68.0,0.3333333333333333,1,909.0909090909091
60,Москва,ЮАО,р-н Орехово-Борисово Южное,Зябликово,Воронежская улица 46К1,1987.0,3.0,1.0,Изолированная,2.64,1 раздельный,Есть,Евроремонт,2.0,12.0,17.0,9.0,пешком,16000,10.0,20.0,34.0,0.3333333333333333,2,800.0
61,Москва,ЮВАО,р-н Южнопортовый,Дубровка,Шарикоподшипниковская улица 40,1958.0,2.0,1.0,Изолированная,,1 раздельный,Есть,Косметический,2.0,5.0,10.0,5.0,пешком,22000,9.0,22.0,63.0,0.5,1,1000.0
62,Москва,ЦАО,р-н Басманный,Красные ворота,Малый Харитоньевский переулок 7С1,1890.0,5.0,1.0,Изолированная,,1 раздельный,Есть,Косметический,2.0,3.0,4.0,4.0,пешком,23000,15.0,22.0,131.0,0.2,1,1045.4545454545455
63,Москва,ЮВАО,р-н Лефортово,Авиамоторная,шоссе Энтузиастов 22/18,1932.0,3.0,1.0,,,1 раздельный,Есть,Косметический,,5.0,5.0,3.0,пешком,24000,14.0,23.0,89.0,0.3333333333333333,1,1043.4782608695652
64,Москва,ЗАО,р-н Солнцево,Солнцево,улица Богданова 26К2,1964.0,2.0,1.0,Изолированная,2.64,1 совмещенный,Есть,Косметический,2.0,2.0,5.0,13.0,пешком,27000,5.0,8.0,57.0,0.5,1,3375.0
65,Москва,СВАО,р-н Бабушкинский,Бабушкинская,улица Коминтерна 9К2,1958.0,3.0,1.0,Изолированная,,,,Косметический,1.0,5.0,5.0,12.0,пешком,13000,10.0,13.0,63.0,0.3333333333333333,1,1000.0
66,Москва,ЦАО,р-н Басманный,Бауманская,Большая Почтовая улица 18/20К18,1931.0,4.0,1.0,,,1 раздельный,Есть,Косметический,0.0,4.0,5.0,10.0,пешком,13000,9.0,15.0,90.0,0.25,1,866.6666666666666
67,Москва,ЮАО,р-н Даниловский,Технопарк,Автозаводская улица 23С16,1958.0,2.0,1.0,,,1 совмещенный,,Дизайнерский,,2.0,2.0,10.0,пешком,33000,9.235539215686275,16.0,63.0,0.5,3,2062.5
68,Москва,САО,р-н Хорошевский,Хорошевская,улица Зорге 6к1,1957.0,3.0,1.0,Изолированная,,1 раздельный,Есть,Евроремонт,2.0,5.0,6.0,5.0,пешком,36000,12.0,17.0,64.0,0.3333333333333333,2,2117.6470588235293
69,Москва,ЮЗАО,р-н Зюзино,Севастопольская,Азовская улица 25К1,1968.0,4.0,1.0,Изолированная,,1 раздельный,Есть,Косметический,2.0,16.0,16.0,,,16000,6.0,16.0,53.0,0.25,1,1000.0
70,Москва,ЮАО,р-н Чертаново Южное,Улица Академика Янгеля,Россошанская улица 1К1,1971.0,3.0,1.0,Изолированная,2.64,1 совмещенный,,Косметический,2.0,3.0,12.0,3.0,пешком,19000,6.0,14.0,50.0,0.3333333333333333,1,1357.142857142857
71,Москва,СВАО,р-н Северное Медведково,Медведково,проезд Шокальского 19,1966.0,2.0,1.0,,2.64,1 раздельный,Есть,Косметический,2.0,8.0,9.0,18.0,пешком,16000,8.0,12.0,55.0,0.5,1,1333.3333333333333
72,Москва,СВАО,р-н Бутырский,Савеловская,Бутырская улица 6,1965.0,3.0,1.0,Изолированная,,1 совмещенный,Есть,Евроремонт,0.0,1.0,8.0,5.0,пешком,18000,8.0,18.0,56.0,0.3333333333333333,2,1000.0
73,Москва,ЮАО,р-н Даниловский,Технопарк,Автозаводская улица 23С16,1958.0,2.0,1.0,Изолированная,,1 совмещенный,,Дизайнерский,,1.0,3.0,10.0,пешком,27000,9.235539215686275,15.5,63.0,0.5,3,1741.9354838709678
74,Москва,ЮВАО,р-н Марьино,Марьино,улица Маршала Голованова 1,1985.0,3.0,1.0,Изолированная,2.64,1 раздельный,Есть,Косметический,2.0,1.0,17.0,11.0,пешком,22000,9.5,14.0,36.0,0.3333333333333333,1,1571.4285714285713
75,Москва,САО,р-н Аэропорт,Аэропорт,Красноармейская улица 29,1958.0,3.0,1.0,,,,,Косметический,,1.0,5.0,5.0,пешком,28000,9.235539215686275,15.979064587973273,63.0,0.3333333333333333,1,1752.2928107490313
76,Москва,ЮАО,р-н Зябликово,Шипиловская,Шипиловская улица 64К1,1977.0,3.0,1.0,Изолированная,2.5,1 раздельный,Есть,Косметический,2.0,3.0,12.0,6.0,пешком,15000,6.5,20.0,44.0,0.3333333333333333,1,750.0
77,Москва,ЮАО,р-н Бирюлево Восточное,Царицыно,Элеваторная улица 8,1971.0,2.0,1.0,Изолированная,2.64,1 раздельный,Есть,Дизайнерский,,6.0,9.0,241.86831249999997,на транспорте,27000,9.235539215686275,12.0,50.0,0.5,3,2250.0
78,Москва,ЦАО,р-н Пресненский,Маяковская,Трехпрудный переулок 11/13С1,1910.0,5.0,1.0,Изолированная,,1 раздельный,Есть,Дизайнерский,2.0,4.0,6.0,7.0,пешком,43000,9.235539215686275,8.7,111.0,0.2,3,4942.528735632184
79,Москва,СВАО,р-н Отрадное,Отрадное,Юрловский проезд 17,1974.0,3.0,1.0,,2.64,1 раздельный,Есть,Косметический,2.0,4.0,9.0,14.0,пешком,17000,9.0,16.0,47.0,0.3333333333333333,1,1062.5
